Script#27			
*	BG	Dark
kashasty	-	카샤스티	……조직이라뇨? 상징? 제가요?
bebel	-	베벨	정식으로 소개하죠. 한 줌 권력자들이 아닌 모두가 행복한 세상, 진정한 신 뮤의 가르침을 유니티 제국에 실현하기 위한 비밀결사 인터내셔널. 그리고 모나폴리 지부장 베벨입니다.
bebel	-	베벨	참으로 오랜 인내 끝에 결전의 준비는 끝났고, 최근의 활동으로 저들도 우리의 존재를 어렴풋이 눈치챘을 겁니다. 드러낼 때가 왔죠.
bebel	-	베벨	그러나 실제 지도자가 누구인지는 지부장인 저로서도 알지 못할 만큼 철저히 베일에 싸여 있습니다. 붙잡혀도 피해가 확산되지 않도록 하기 위한 보안 대책이죠.
bebel	-	베벨	하지만 우리의 메시지를 사람들에게 효과적으로 전하기 위해서는 얼굴을 드러낼 대표자로서의 역할도 필요한 법.
kashasty	-	카샤스티	그것을, 제가 맡기겠다는 말씀이신지요.
bebel	-	베벨	하스켈과 핀토스, 한때 체제의 최심부에 속했던 자들. 지금은 그들조차 폭정의 희생양이 되어 진실을 깨닫고 저항군의 지도자가 되었다.
bebel	-	베벨	민중들에게는 꽤나 먹히는 서사가 아니겠습니까?
kashasty	-	카샤스티	…….
blank	-	-	타인의 도구로서 움직인다는 것은 별로 내키는 상황이 아니었지만, 생명의 은인이 하는 요구를 거절한다는 부담감도 견디기 힘든 압박이었다.
blank	-	-	또한, 거절한들 당장 자신이 갈 곳조차 없다는 사실도 현실에서는 고려해야 할 중요한 변수였다.
bebel	-	베벨	잘 생각하셨습니다. 동지는 다른 동지들과 함께 앞장서 싸워 주시기만 하면 됩니다. 나머지는 저희가 알아서 할 테니까요.
kashasty	-	카샤스티	그럼 전 어디서, 누구와 싸워야 하는 거죠?
bebel	-	베벨	황제의 명령으로 같은 부피에 더 많은 에테르를 저장할 수 있는 정제법을 연구 중이라는 정보를 입수했습니다. 꽤 많이 진행됐다는군요.
kashasty	-	카샤스티	설마, 그걸 방해하겠다고요? 그게 얼마나 많은 곳이 응용될 수 있는 기술인지 알고나……
bebel	-	베벨	물론이죠. 가장 먼저 우리를 죽일 무기에 이용되지 않겠습니까?

*	FO
*	Colorful
*	BG	City
*	FI

blank	-	-	<color=yellow>제국력 518년 2월 6일, 연금술의 도시 알체스</color>
blank	-	-	베벨이라는 인물의 소개로 우편마차를 얻어타고 다른 도시까지 이동했지만, 그곳에서는 은신처를 제공받으며 며칠째 시간만 보내고 있었다.
blank	-	-	멀리서 화려하게 장식된 종탑이 보였다. 지금도 그 안에서는 에테르를 정제하는 연구가 진행되고 있을 것이다.
kashasty	-	카샤스티	(정말 그런 짓을 해도 괜찮은 걸까……?)
blank	-	-	그게 완성되면 위험한 무기가 될 수 있는 건 사실이지만, 어떻게 쓰느냐에 따라 얼마든지 유용한 것들을 만들어낼 수도 있다.
kashasty	-	카샤스티	(소첩이 대외적인 대표자라면, 그것을 도둑질한 사람으로 알려지겠지요.)
kashasty	-	카샤스티	(진리를 탐구하는 사람으로서, 역사에 그런 식으로 남고 싶지는 않은걸요…….)
blank	-	-	하지만, 목숨을 구해주고 여기까지 보내준 후 쉴 곳까지 제공한 호의를 이제 와서 거절하는 것도 불가능한 일.
blank	-	-	결단을 내리지 못한 채, 마음의 준비가 필요하다는 이유로 최대한 미룬 거사일은 휴일인 이틀 뒤다.
*	BGM	Script_Pintos
kashasty	-	카샤스티	어머?
lenien	-	리니안	(~~~)
reina	-	레이나	(~~~)
blank	-	-	멀어서 잘 들리지 않았지만, 익숙한 분위기의 사람들이 빠른 걸음으로 움직이며 심각한 분위기로 뭔가 이야기하고 있었다.
kashasty	-	카샤스티	저……!
kashasty	-	카샤스티	(핀토스 가 사람들? 아니, 잘못 봤나? 다른 사람인 것 같기도 하고…….)
blank	-	-	쫓기는 처지에서 핀토스 경을 큰 소리로 부를 수는 없다. 거리를 두고 따라가자, 종탑에 도착한 그들은……
*	BGM	Script_Tense
*	SE	Slash
reina	-	영	(~~~)
luvericha	-	루베리카	(~~~)
blank	-	-	무어라 말하는 듯하더니 입구에서 나오던 사람을 쓰러뜨리고 뛰쳐들어갔다.
blank	-	-	가야 한다는 사실까지 생각이 미치기도 전에, 몸이 먼저 그들을 쫓아 안을 향해 달려가고 있었다.

*	Battle	14
