Index	Name	NameInCode	Side	InitPosotionX	InitPositionY	InitDirection	BaseHealth	BasePower	BaseDefense	BaseResistance	BaseAgility	UnitClass	Element	Celestial	IsObject	IsNamed	IsKillable	
66	벽난로	fireplace	Neutral	9	13	LeftDown	99999	0	0	0	0	None	None	None	true	false	false	0
67	벽난로	fireplace	Neutral	10	13	LeftDown	99999	0	0	0	0	None	None	None	true	false	false	0
68	소파	sofaSchmidt	Neutral	9	12	LeftDown	300	0	0	0	0	None	None	None	true	false	true	0
69	소파	sofaSchmidt	Neutral	10	12	LeftDown	300	0	0	0	0	None	None	None	true	false	true	0
70	책장	bookshelf	Neutral	4	11	LeftDown	500	0	0	0	0	None	None	None	true	false	true	0
71	책장	bookshelf	Neutral	6	11	LeftDown	500	0	0	0	0	None	None	None	true	false	true	0
72	책장	bookshelf	Neutral	7	11	LeftDown	500	0	0	0	0	None	None	None	true	false	true	0
73	책장	bookshelf	Neutral	12	11	LeftDown	500	0	0	0	0	None	None	None	true	false	true	0
74	책장	bookshelf	Neutral	13	11	LeftDown	500	0	0	0	0	None	None	None	true	false	true	0
75	책장	bookshelf	Neutral	15	11	LeftDown	500	0	0	0	0	None	None	None	true	false	true	0
76	책장	bookshelf	Neutral	4	7	LeftDown	500	0	0	0	0	None	None	None	true	false	true	0
77	책장	bookshelf	Neutral	15	7	LeftDown	500	0	0	0	0	None	None	None	true	false	true	0
78	덤불	bush	Neutral	2	11	LeftDown	800	0	0	0	0	None	None	None	true	false	false	0
79	덤불	bush	Neutral	3	11	LeftDown	800	0	0	0	0	None	None	None	true	false	false	0
80	덤불	bush	Neutral	16	11	LeftDown	800	0	0	0	0	None	None	None	true	false	false	0
81	덤불	bush	Neutral	17	11	LeftDown	800	0	0	0	0	None	None	None	true	false	false	0
82	덤불	bush	Neutral	2	7	LeftDown	800	0	0	0	0	None	None	None	true	false	false	0
83	덤불	bush	Neutral	3	7	LeftDown	800	0	0	0	0	None	None	None	true	false	false	0
84	덤불	bush	Neutral	16	7	LeftDown	800	0	0	0	0	None	None	None	true	false	false	0
85	덤불	bush	Neutral	17	7	LeftDown	800	0	0	0	0	None	None	None	true	false	false	0
86	벽	stage16_wall	Neutral	4	8	RightDown	1000	0	0	0	0	None	None	None	true	false	true	0
87	벽	stage16_wall	Neutral	4	9	RightDown	1000	0	0	0	0	None	None	None	true	false	true	0
88	벽	stage16_wall	Neutral	4	10	RightDown	1000	0	0	0	0	None	None	None	true	false	true	0
89	벽	stage16_wall	Neutral	15	8	RightDown	1000	0	0	0	0	None	None	None	true	false	true	0
90	벽	stage16_wall	Neutral	15	9	RightDown	1000	0	0	0	0	None	None	None	true	false	true	0
91	벽	stage16_wall	Neutral	15	10	RightDown	1000	0	0	0	0	None	None	None	true	false	true	0
92	식탁	tableScmidt	Neutral	6	7	LeftDown	500	0	0	0	0	None	None	None	true	false	true	0	
93	식탁	tableScmidt	Neutral	7	7	LeftDown	500	0	0	0	0	None	None	None	true	false	true	0
94	식탁	tableScmidt	Neutral	12	7	LeftDown	500	0	0	0	0	None	None	None	true	false	true	0
95	식탁	tableScmidt	Neutral	13	7	LeftDown	500	0	0	0	0	None	None	None	true	false	true	0
96	큰 방패	shieldSchmidt	Neutral	9	9	LeftDown	99999	0	0	0	0	None	None	None	true	false	false	0
97	큰 검	swordSchmidt	Neutral	10	9	LeftDown	99999	0	0	0	0	None	None	None	true	false	false	0
98	unselected	unselected	Ally	8	9	LeftDown	0	0	0	0	0	None	None	None	false	false	false	0
99	unselected	unselected	Ally	9	10	LeftDown	0	0	0	0	0	None	None	None	false	false	false	0
100	unselected	unselected	Ally	10	10	LeftDown	0	0	0	0	0	None	None	None	false	false	false	0
101	unselected	unselected	Ally	11	9	LeftDown	0	0	0	0	0	None	None	None	false	false	false	0
102	unselected	unselected	Ally	10	8	LeftDown	0	0	0	0	0	None	None	None	false	false	false	0
