reina,-,레이나,"(이 사람들, 단순히 황제의 수족이라고 생각했는데...... 이들에게도 동료애 라는 것이 있는 걸까?)",
sisterna,-,시스터나,"자, 잠깐만요. 영이라도 했나? 저 사람, 출혈도 심각하고 상태가 너무 안 좋은데. 빨리 어떻게든 하지 않으면......",
,,,,
blank,-,-,"시스터나의 말이 끝나기가 무섭게, 얇은 검에 체중을 의지하고 있던 영이 한쪽 무릎을 꿇으며 주저앉았다. 바닥에는 이미 피가 고여 작은 웅덩이가 만들어져 있었고, 얼굴은 창백해서 금방이라도 잘못될 것만 같은 모습이었다.",
yeong,-,영,(찡그림)......,
sepia,-,세피아,"그쪽도 여유만만한 상황은 아닌 것 같은데, 이제 어떻게 할 셈이죠? 이쯤에서 물러나는 게 서로에게 좋은 타협이 아닐지.",
yeong,-,영,"(당황)아뇨! 저, 절대 안 됩니다. 황제의 하수인을 상대로 유리한 상황에서 싸울 기회는 얼마 없어요. 저는 상관없으니 신경 쓰지 말고 기회를 잡아야......",
reina,-,레이나,"어쩔 수 없죠, 보내주는 수밖에.",
luvericha,-,루베리카,(놀람)......,
eren,-,에렌,"진짜? 지금 살려 보내면 앞으로 계속 귀찮게 할 게 뻔하다고, 후회 안 하겠어?",
reina,-,레이나,"한번 기사로 인정한 이상, 외부의 공격으로부터 지켜내는 것도 핀토스의 의무니까요.",
yeong,-,영,하지만......!,
eren,-,에렌,"흐음. ......뭐, 이해는 안 되지만 그러고 싶다면 그렇게 하자고. 나야 아무래도 상관없으니까.",
eins,-,아인츠,"쳇. 이놈이 죽으면 정말 다시는 세상 구경 못 하는 거겠지. 동료를 버릴 정도는 아니지만, 아무래도 아쉬운 건 아쉬운 거니까.",
grenev,-,그레네브,뭐야? 안 싸우는 거야? 겁쟁이 같으니.,
sepia,-,세피아,저쪽의 마음이 바뀌기 전에 빨리 퇴각하죠.,
*,disappear,all,,
darkenir,-,달케니르,"(기본)잠깐, 스텔라리엔의 고결한 일족이 적에게 빚을 질 수는 없지. 하스켈 사람을 찾는다고 했던가?",
luvericha,-,루베리카,......,
darkenir,-,달케니르,"한 번만 말할 테니 잘 듣거라. 루키어스 하스켈이 탈출했다는 사실은 알고 있겠지? 추격대의 마지막 보고에 따르면, 녀석은 셀리안 방향으로 움직이고 있다는 것 같더군.",
darkenir,-,달케니르,"믿고 말고는 자유지만, 이걸로 빚은 없는 것으로 하겠다. 다음에 다시 마주치더라도 나는 일족의 안녕을 위한 의무를 다할 것이야.",
*,disappear,darkenir,,
reina,-,레이나,......긴 이야기는 우선 안전한 곳으로 이동한 후에 하는 게 좋겠군요.,
eren,-,에렌,역시 우릴 여기로 불러 모은 건 아는 장소가 있다는 거겠지? 애초에 그만한 거리까지 닿는 신호를 보낼 만한 통신기가 있었다면 그곳이겠군.,
reina,-,레이나,이해가 빠르군요. 핀토스 가에서는 비상사태를 대비해서 만든 대피소가 있어요.,
yeong,-,영,대피소......?,
luvericha,-,루베리카,저도 따라가죠. 꼭 물어보고 싶은 게 있었으니까.,
