Script#11	
*	BG	InCamp
*	BGM	Script_Normal
blank	-	-	평행선을 달리던 대화를 끊고, 문이 열리더니 남루한 차림의 무리가 열 살 남짓한 아이들 여럿을 짐칸에 억지로 밀어넣는 것이었다.
eren	-	에렌	(음?)
blank	-	-	돌봐주네 어쩌네 하던 녀석은 완전히 움직임을 멈춘 채 눈동자가 심하게 흔들리고 있었다.
luvericha	-	루베리카	…….
eren	-	에렌	뭐 하는 거야?
luvericha	-	루베리카	아, 아니…… 나도 잘 모르는 기억이 떠올라서 그만.
man1	-	패거리1	뭐야, 저것들은. 둘 다 너무 커서 안 받아줄 것 같은데, 어디다 쓰려고.
man2	-	패거리2	남자애 쪽은 어떻게 잘 우겨보면 되지 않을까? 계집이야 쓸모를 찾으면 어떻게든 생기는 법이고, 흐흐.
man3	-	패거리3	껄껄, 뱃삯도 귀한 보석으로 된 장신구로 내놓았으니 말이지.
eren	-	에렌	처음부터 손님으로 모실 생각은 없었던 거군.
man2	-	패거리2	크크, 밀항을 하려는 걸 보면 너희도 떳떳한 처지는 아닐 텐데 뭘.
eren	-	에렌	아무리 할 일이 없어도 그렇지 애들한테 손을 대다니, 무슨 생각인지는 모르겠지만 너희가 정말 쓰레기라는 사실은 확실히 알겠다.
luvericha	-	루베리카	그, 그렇게 화나게 만들면 어쩌려고……!
*	BGM	Script_Tense
man3	-	패거리3	뭘 어쩌긴 어째, 대가를 치러야지. 건방진 놈한테는 예절이라는 걸 가르쳐 주마.
luvericha	-	루베리카	원하는 게 뭐죠? 더 이상 줄 수 있는 건 없어요!
man1	-	패거리1	그거야 시체를 뒤져 보면 사실인지 알 수 있으니까 걱정 말고. 버릇없는 꼬마는 죽여버릴 테니 넌 우리랑 같이 좀 놀아주면 돼.
man2	-	패거리2	낄낄, 협조적으로 나오면 네 목숨 정도는 살려줄까 생각해 보지!
luvericha	-	루베리카	시, 싫어, 이러지 마세……
*	SE	Slash
blank	-	-	가장 가까이 있던 자가 다가와서 손을 뻗으려던 순간, 빠른 속도로 공기를 가르고 도착한 검은 빛무리가 몸통을 꿰뚫은 후 산산이 흩어졌다.
man1	-	패거리1	크억!
eren	-	에렌	넌 또 무슨 한심한 소리를 하고 있냐.
eren	-	에렌	(내가 걱정돼서가 아니라 그냥 경호원으로 이용해먹을 생각이었나. 뭐, 역시나 그렇지.)
eren	-	에렌	당장은 두 사람의 최우선 목표가 일치하는 것 같으니 일단 도와주도록 할까.
man3	-	패거리3	어이! 어떻게 된 거야! 정신 차려!
man2	-	패거리2	주, 죽었어.
man3	-	패거리3	야! 다들 모여 봐!
blank	-	-	바깥에 있던 선원들도 모두 한패였는지 밖에서 여러 명이 몰려오는 소리가 들리기 시작했다.
eren	-	에렌	난 너한테 신경 안 쓸 거니까 살아남는 건 알아서 해. 가능하면 어디 숨어 있든지.
luvericha	-	루베리카	자, 잠깐. 나도 도울 거야!
*	Battle	6
