Index	Name	NameInCode	Side	InitPosotionX	InitPositionY	InitDirection	BaseHealth	BasePower	BaseDefense	BaseResistance	BaseAgility	UnitClass	Element	Celestial	IsObject	IsNamed	IsKillable	
79	기둥	pillar	Neutral	27	29	10000	0	100	0	0	None	None	None	true	false	false	0
80	문	door	Neutral	10	18	3000	0	100	0	0	None	None	None	true	false	false	0
81	문	door	Neutral	10	19	3000	0	100	0	0	None	None	None	true	false	false	0
82	문	door	Neutral	10	20	3000	0	100	0	0	None	None	None	true	false	false	0
83	문	door	Neutral	22	18	3000	0	100	0	0	None	None	None	true	false	false	0
84	문	door	Neutral	22	19	3000	0	100	0	0	None	None	None	true	false	false	0
85	문	door	Neutral	22	20	3000	0	100	0	0	None	None	None	true	false	false	0
86	문	door	Neutral	15	25	3000	0	100	0	0	None	None	None	true	false	false	0
87	문	door	Neutral	16	25	3000	0	100	0	0	None	None	None	true	false	false	0
88	문	door	Neutral	17	25	3000	0	100	0	0	None	None	None	true	false	false	0
89	문	door	Neutral	15	13	3000	0	100	0	0	None	None	None	true	false	false	0
90	문	door	Neutral	16	13	3000	0	100	0	0	None	None	None	true	false	false	0
91	문	door	Neutral	17	13	3000	0	100	0	0	None	None	None	true	false	false	0
92	문	door	Neutral	3	22	3000	0	100	0	0	None	None	None	true	false	false	0
93	문	door	Neutral	4	22	3000	0	100	0	0	None	None	None	true	false	false	0
94	문	door	Neutral	5	22	3000	0	100	0	0	None	None	None	true	false	false	0
95	문	door	Neutral	6	22	3000	0	100	0	0	None	None	None	true	false	false	0
96	문	door	Neutral	7	22	3000	0	100	0	0	None	None	None	true	false	false	0
97	문	door	Neutral	8	22	3000	0	100	0	0	None	None	None	true	false	false	0
98	문	door	Neutral	9	22	3000	0	100	0	0	None	None	None	true	false	false	0
99	문	door	Neutral	23	22	3000	0	100	0	0	None	None	None	true	false	false	0
100	문	door	Neutral	24	22	3000	0	100	0	0	None	None	None	true	false	false	0
101	문	door	Neutral	25	22	3000	0	100	0	0	None	None	None	true	false	false	0
102	문	door	Neutral	26	22	3000	0	100	0	0	None	None	None	true	false	false	0
103	문	door	Neutral	27	22	3000	0	100	0	0	None	None	None	true	false	false	0
104	문	door	Neutral	28	22	3000	0	100	0	0	None	None	None	true	false	false	0
105	문	door	Neutral	29	22	3000	0	100	0	0	None	None	None	true	false	false	0
106	상자	box	Neutral	5	19	1000	0	100	0	0	None	None	None	true	false	false	0
107	상자	box	Neutral	5	19	1000	0	100	0	0	None	None	None	true	false	false	0
108	상자	box	Neutral	5	19	1000	0	100	0	0	None	None	None	true	false	false	0
109	상자	box	Neutral	5	19	1000	0	100	0	0	None	None	None	true	false	false	0
110	기록	record	Neutral	16	19	600	0	100	100	0	None	None	None	true	false	false	0
111	PCyeong	yeong	Ally	16	4	RightUp	0	0	0	0	0	Melee	Metal	Earth	false	false	false	0
112	PCreina	reina	Ally	17	3	RightUp	0	0	0	0	0	Magic	Fire	Sun	false	false	false	0
113	PClenien	lenien	Ally	15	3	RightUp	0	0	0	0	0	Magic	Metal	Moon	false	false	false	0
114	PCeren	eren	Ally	17	2	RightUp	0	0	0	0	0	Magic	Water	Moon	false	false	false	0
115	PCluvericha	luvericha	Ally	16	2	RightUp	0	0	0	0	0	Magic	Plant	Earth	false	false	false	0
