*	bg	Forest
*	bgm	Script_Normal
blank	-	-	시스터나는 이야기가 진행되는 동안 책장 하나에 기대어 선 채 시시각각 표정을 바꾸며 듣고 있었다. 이틀째 산에서 조난당했다는 사람치고는 꽤나 반응이 풍부한 편이었다.
reina	-	레이나	......미안해요. 요 며칠 너무 신경이 곤두서 있어서.
sisterna	-	시스터나	뭐, 그런 상황이라면 이해 못 할 행동은 아니니까 넘어가도록 하죠. 어쩐지, 오다 보니까 며칠 전 부터 마을에 군인들이 막 돌아다니고 분위기가 뒤숭숭하더라니. 괜히 찔려서 피해 다니고 그랬네.
reina	-	레이나	네? 왜요?
sisterna	-	시스터나	왜긴요? 저 불법체류자거든요. 요즘처럼 양국 관계가 험악한 시기에 국경 통과 허가가 그렇게 쉽게 날 리가 있겠어요?
reina	-	레이나	......좀 많이 돌아갔지만 본론으로 넘어가죠. 무슨 일로 저를 만나려고 한 건데요?
sisterna	-	시스터나	마법 물리학의 가지도 모르는 자바의 마법학계엔 미래가 없고, 마법의 새로운 지평이 지닌 가치를 알아볼 만한 사람으로 가장 적합한 건 당신이라고 생각했기 때문이죠!
sisterna	-	시스터나	결국 모든 것은 사물의 이치, 곧 물리법칙에 의해 움직이는 법. 마법이라는 것도 무에서 유를 만드는 게 아니라 그 궤도를 바꿀 수 있도록 약간의 힘을 가하는 것에 불과하죠.
sisterna	-	시스터나	마법으로 불을 피우는 것도 주변의 열에너지를 작은 부피에 압축해 주변 소재가 발화점에 도달할 때까지 계속하는 것뿐. 그리고 그 불을 만들어낸 후에 그것이 타고 소멸하는 과정도 오로지 물리법칙의 궤도를 따라 진행되고!
sisterna	-	시스터나	여기까지는 다들 이해하죠. 아마 핀토스 씨도 그럴 거고.
reina	-	레이나	아, 네.
sisterna	-	시스터나	결국 이 에테르의 움직임을 정량적으로 계산해서! 더욱 효율적으로 마법을 사용할 수 있도록 하는 게! 마법물리학의! 핵심이죠!
sisterna	-	시스터나	이 얼마나 엄청난 발견인지! 요즘 잘 나가는 부자들이 쓴다는 수정 통신기도 전자기학을 거쳐서 나온 마법물리학의 산물이죠! 덧붙이자면 아까 공격을 막아낸 것도 호신용으로 두르고 다니는 원자의 선 스펙트럼이 @#^$%&$#%......
blank	-	-	처음에는 기본적인 마법 이론을 익힌 사람이라면 누구라도 이해할 수 있을 만한 내용에서 시작했지만, 점점 자신의 이야기에 심취하는 듯하더니 알 수 없는 내용으로 흐르기 시작했다. 명한 표정으로 듣고 있던 레이나는 결국 쏟아지는 말의 홍수에서 틈새를 찾아 비집고 들어갈 수밖에 없었다.
reina	-	레이나	아, 그, 그렇군요. 굉장하네요.
sisterna	-	시스터나	자! 하지 않겠는가!
reina	-	레이나	분명 흥미로운 이야기인데...... 아쉽지만 어울려 줄 수는 없어요.
sisterna	-	시스터나	어, 어째서죠!
reina	-	레이나	평범한 상황이라면 좋은 대화 상대가 될 수 일었을 텐데, 아까 말했듯이 제가 지금 그럴 처지가 아니라서 말이죠. 그럼 이만......
sisterna	-	시스터나	......흥! 그까짓 거 도와주면 되는 거죠?
reina	-	레이나	 네? 뭘요?
sisterna	-	시스터나	뭐긴. 가문이 통째로 숙청당했고 본인은 도망자 신세. 그런데 생존자를 모아서 핀토스 가를 재건하고 싶다, 라면서? 그걸 도와주면 되는 거 아닌가요?
reina	-	레이나	......그 말은 유니티 제국의 황제와 대립하겠다는 뜻이에요. 괜히 남의 나라까지 넘어와서 허무하게 인생마감할지도 모르는데?
sisterna	-	시스터나	상관없어요. 어차피 언젠가는 죽는 게 인생인데 화끈하게 불태워보는 것도 나쁘지 않고.
reina	-	레이나	(어, 엄청난 사람이군......)
reina	-	레이나	(어쨌든 적은 아닌 것 같고, 본인이 좋다고 하니 되는 데까지는 이용해보도록 할까. ......'의무'를 위해서.)
**	출구	-
sisterna	-	시스터나	그럼 이제 뭘 해야하죠?
reina	-	레이나	핀토스의 생존자들을 찾아서 뭉쳐야 해요.
blank	-	-	레이나는 기록 보관소의 한쪽 구석을 차지하고 있는 거대한 수정 통신기를 가리켰다.
reina	-	레이나	그러려면 저걸로 신호를 보내야 하죠.
sisterna	-	시스터나	허억?! 크기가 무슨......! 저 정도면 대륙 끝에서 반대편 끝까지도 닿겠네!
reina	-	레이나	어쩌면 될지도 모르겠네요. 시도해 본 적은 없지만.
sisterna	-	시스터나	어쨌든, 그러면 신호를 보내면 되는 거 아닌가요?
reina	-	레이나	아까 해 봤는데, 제대로 작동하지 않는 걸로 봐서 새로운 수정을 공급해줘야 할 것 같더군요. 저만한 크기를 인간의 체내 에테르만으로 돌릴 순 없으니.
sisterna	-	시스터나	흐음, 그렇군요. 하지만 당장 어디 가서 구해오죠?
reina	-	레이나	그건 따라오시면 알게 될 테니 걱정 마시죠.
*	load_script	pintos#7-2
