Script#1 //둘째 줄부터 Parsing하므로 첫줄은 아무 내용이나 채울 것
*	BG	Dark
*	BGM	Script_Prelude
blank	-	-	자신의 주변에 접근하지 말라는 듯한 그 폐쇄적인 모습은 도움을 주고 싶은 사람도 어떻게 해야 할지 모르게 만들곤 했다.
reina	-	레이나	(휴우…… 황제가 불러서 오긴 했지만, 이왕 자리에 나왔으니 무의미하게 시간을 버리는 것보다는 떠보기라도 하는 게 낫겠지.)
*	BGM	Script_Prelude
blank	-	-	그러나, 한 발짝씩 다가갈수록, 하스켈 사람들이 모여 있던 쪽에서는 그나마 조금씩 들려오던 이야기소리마저 끊기고 정적이 찾아왔다.
reina	-	레이나	(존재 자체를 거부하는 분위기가 숨통을 조여오는 듯한 기분…… 하지만, 이것도 가문의 대표로서 짊어져야만 할 무게라면 기꺼이 감당해 주지.)
*	Glos	Person	2	1
reina	-	레이나	오랜만입니다, <color=red>하스켈 공작</color>.
lucius	-	루키어스	살인자에게 할 인사말은 준비해 두고 다니지 않습니다.
reina	-	레이나	흐응, 무슨 말씀이신지 모르겠지만 이런 식으로 나오시면 중재를 위해 직접 나서 주신 폐하께서 무안해지겠네요.
luvericha	-	루베리카	감히 어떻게 당신 같은 인간이 그런 말을……!
yeong	-	영	연회장에서 큰소리를 내는 건 서로에게 좋지 않을 것 같습니다만.
lucius	-	루키어스	……그렇군요. 여기서 하기에 적절한 이야기는 아니니.

*	BGM	Script_Tense
blank	-	-	그 순간 황제가 연설을 할 단상으로 통하는 문이 열렸다. 그러나 나타난 것은 황제가 아닌, 제복 차림의 무리였다.
*	Glos	Group	4	1
kashasty	-	카샤스티	그 제복은……<color=red>아스터</color> 소속이군요. 여기는 무슨 일이죠?
bianca	-	비앙카	시치미 떼 봤자 소용없어, 반역자! 이미 다 알고 왔으니까!
lucius	-	루키어스	……아하, 그런가. 드디어 조사가 끝난 거였어.
lucius	-	루키어스	화합을 도모하다니 무슨 뜻인가 했는데, 굳이 우리까지 직접 불러낸 건 마지막까지 방심시키기 위해서였나? 확실히 철저하시군.
luvericha	-	루베리카	그렇다면 뒤는 제국의 별들에게 맡기고 퇴장하도록 하죠.
noel	-	노엘	죄인들에게 알린다.
blank	-	-	상황이 심상치 않았다. 이 공간은 당연히 아무나 들어올 수 없는 곳인데도 단체로 무기를 들고 황제의 자리를 통해 들어왔고, 하스켈 쪽은 뭔가 아는 눈치라면.
noel	-	노엘	모나드 폐하의 유해를 탈취한 황실모독, 이를 이용해 인체실험을 행하여 금제를 위반. 그 결과물로 반역을 계획.
noel	-	노엘	이에 폐하께서는 이 자리의 전원을 처단하라 명하셨으므로, 지금부터 유니티 제국의 이름으로 집행하겠다.
luvericha	-	루베리카	……전원?
noel	-	노엘	작전 개시!

*	SE	Bomb

blank	-	-	그 말과 동시에 연회장 한가운데에서 큰 폭발이 일어났고, 그들은 정말로 하스켈과 핀토스의 구분 없이 무차별적인 공격을 가했다.
lucius	-	루키어스	뭔가 오해가 있는 것 같은데! 황궁은 구조가 복잡할 테니 각자 출구를 찾는 게 낫습니다. 일단 흩어지죠!

*	FO
*	BG	Garden
*	BGM	Script_Tense
*	FI

blank	-	-	레이나 핀토스는 거대한 모나드 황제의 동상 뒤에 숨어서 바깥을 엿보고 있었다.
*	Glos	Etc	2	1
*	Glos	Etc	3	1
reina	-	레이나	(이미 <color=red>마력</color>을 꽤 써 버렸고, 끝까지 뚫을 수 있을까……?)
blank	-	-	아무래도 가문의 수장이니만큼 최우선 목표가 돼버린 것 같았다.
blank	-	-	쫓아오던 적 여러 무리를 간신히 쓰러뜨리고 정원까지 도착했지만, 별관 자체를 빠져나가는 출구는 빠짐없이 적들이 배치되어 있었다.
lucius	-	루키어스	핀토스 공작?!
blank	-	-	부르는 소리에 뒤를 돌아보자, 그 많은 사람들 중 하필이면 가장 자신을 싫어하는 사람이 놀란 표정으로 서 있었다.
reina	-	레이나	(별로 챙겨 줄 필요는 없었지만, 바보같이 가만히 있다가 여기서 발각되면 나까지 위험해지겠지?)
reina	-	레이나	거기서 뭐 해요? 빨리 안 숨고!
lucius	-	루키어스	…….
blank	-	-	아마 자신과 같은 과정을 거쳐서 여기까지 왔으리라. 누군가에게서 빼앗았는지 제국군의 검을 들고 있었다.
reina	-	레이나	(이 인간도 무력만큼은 확실하지. 잘 이용하면 어떻게든 빠져나갈 수 있을 것 같은데?)
blank	-	-	설득할 수 있느냐가 문제겠지만, 지금은 그런 걸 가릴 때가 아니었다.
reina	-	레이나	아무래도 강행돌파하는 수밖에 없어 보이죠? 가장 방비가 허술해 보이는 저쪽 문으로, 앞장서시죠. 최선을 다해 도와줄 테니까.
lucius	-	루키어스	내가 당신을 도울 것 같나? 동생을 죽인 원수에게?
reina	-	레이나	……지금 장난하나.
reina	-	레이나	정신 차려! 시간이 없다고! 난 가문의 대표로서 의무를 다해야 해! 그건 당신도 마찬가지 아니야?
reina	-	레이나	당신은 그걸 고작 복수심 따위로 내팽개칠 만큼 무책임한 인간이야?
blank	-	-	순간 언성이 높아지자 주변의 적들이 소리를 듣고 이쪽으로 몰려들기 시작했다.
agent	-	아스터 요원	반역자가 저기 있다! 잡아라!
lucius	-	루키어스	……그렇군. 아직 지켜야 할 사람들이 남아 있을지도 몰라.
blank	-	-	지켜야 할 사람들. 상대의 그 한마디에 희미한 동질감이 느껴졌다.
lucius	-	루키어스	알겠습니다. 우선 이곳을 탈출하고 나서 생각하죠.

*	Battle	1
