sisterna,-,시스터나,"(윽, 무슨 이름들이 이렇게 많아...... 사실 무슨 소린지는 잘 모르겠지만, 이렇게 신나게 떠드는 걸 보니 대단하긴 한가 본데?)",,,,,
alchemist,-,연금술사,2년이라는 기간에 걸쳐 모두가 노력한 끝에 조만간 완성 단계에 이르렀습니다. 곧 제국 내에서 연금술의 지위도 크게 올라가겠죠!,,,,,
sisterna,-,시스터나,"그, 그렇군요. 행운을 빌게요.",,,,,
sisterna,-,시스터나,(나도 전공 이야기를 할 때 저랬던가......?),,,,,
,,,,,,,,
blank,-,-,"시스터나가 주변 구경에 잠시 정신이 팔려있던 사이, 빠른 걸음으로 어딘가를 향하던 사람과 어깨를 부딪혔다.",,,,,
sisterna,-,시스터나,"으앗, 죄송합니다.",,,,,
walker,-,행인,"아뇨, 저도 못 봤으니 서로 마찬가지죠. 그럼 이만.",,,,,
sisterna,-,시스터나,"앗, 잠시만요. 지나가던 여행자인데 뭐 좀 물어봐도 될까요?",,,,,
walker,-,행인,......바쁜데. 빨리 끝내주시죠.,,,,,
sisterna,-,시스터나,뭔가 안 좋은 일이라도 있나요? 사람들이 다들 좀 긴장한 것 같기도 하고.,,,,,
walker,-,행인,며칠 전 일 때문에 셀리안 전체가 좀 뒤숭숭합니다.,,,,,
sisterna,-,시스터나,무슨 일이 있었는데요?,,,,,
walker,-,행인,자바 출신 무기 장인으로 유명한 슈미트 디아즈가 반역에 연루되었다더군요. 그뿐 아니라 반란 주동자 중 하나인 루키어스 하스켈과 그 추종자들이 부르크 성 외곽에 주둔하던 제국군을 여러 차례 공격했습니다.,,,,,
sisterna,-,시스터나,(루키어스 하스켈? 그 사람도 이쪽으로 왔던 건가?),,,,,
walker,-,행인,"파견된 아스터가 도착하여 뒤를 밟아 급습했지만, 결국 슈미트 디아즈 한 명만 현장에서 피살되고 나머지는 놓쳤다고 들었습니다. 어느 정도 떨어진 곳이긴 하지만, 일단 같은 셀리안 주의 대도시이기도 하고 직업상 관련된 사람들도 꽤 많아서......",,,,,
walker,-,행인,그러고 보니 지난주에는 러브레이스를 호송한다면서 군인들이 돌아다니기도 했죠.,,,,,
sisterna,-,시스터나,음? 러브레이스요?,,,,,
walker,-,행인,"이런, 슬슬 시간이 빠듯해서 더는 안 되겠네요. 죄송하지만 저는 이만.",,,,,
blank,-,-,행인은 대답을 듣지도 않고 달려가더니 이내 사라져버렸다.,,,,,
,,,,,,,,
 blank,-,-,시스터나는 과감하게 중앙탑 앞에서 안내 역할을 하던 사람에게서 정보를 캐내보기로 했다.,,,,,
sisterna,-,시스터나,"저, 실례합니다.",,,,,
information,-,안내원,"아, 신물질 개발에 새로 참여하시는 분인가요? 어떤 작업 담당이십니까? 일단 이쪽으로 와서 말씀하시죠.",,,,,
sisterna,-,시스터나,"아, 그게 아니라. 혹시 트리아나 페르단트라는 사람 모르세요?",,,,,
blank,-,-,그 말을 들은 안내원은 싱글벙글하던 표정이 순식간에 굳더니 싸늘한 태도로 바뀌었다.,,,,,
information,-,안내원,......당신에게 할 말은 없습니다. 빨리 여길 떠나는 게 좋겠군요.,,,,,
*,disappear,alchemist,,,,,,
sisterna,-,시스터나,(당황)어라......?,,,,,
,,,,,,,,
blank,-,-,"시스터나는 약속 장소에서 일행들과 합류한 후, 자신이 들은 내용을 그대로 이야기했다.",,,,,
sisterna,-,시스터나,......제가 들은 건 여기까지예요.,,,,,
eren,-,에렌,그럼 우리가 얻은 정보를 종합해보면 총 세 가지네.,,,,,
eren,-,에렌,"첫째, 루키어스 하스켈과 그 일행, 그리고 아스터 놈들까지 모두 셀리안을 지나갔다. 아스터는 하스켈 쪽을 따라왔을 테고, 그렇다면 하스켈은 어째서 이쪽으로 왔을까......? 단순히 도망치다 보니 지나가게 됐든 다른 목적이 있든, 당장은 알 수 없는 내용이겠지.",,,,,
reina,-,레이나,그 수인족 요원이 했던 말이 사실이었군요. 적이 준 정보인 만큼 중요하게 여기지는 않고 있었는데.,,,,,
luvericha,-,루베리카,......어쩌면 그들도 나쁜 사람들은 아닐지도 몰라요.,,,,,
luvericha,-,루베리카,"(만약 언젠가 만나게 된다면 어떻게 해야 할까. 내가 있던 하스켈 가로 돌아가는 걸까? 아니면, 오빠의 죽음을 추적하기 위해서 계속......)",,,,,
eren,-,에렌,터무니없는 소리. 협상으로 살려준 것뿐인데 적에게 호의를 베푸는 녀석이 있을 리가 없잖아? 어차피 쉽게 얻을 수 있는 정보를 미리 던져주고 신뢰를 쌓으려는 계략일 게 뻔해.,,,,,
reina,-,레이나,......에렌 님이라면그렇게 말할 것 같았죠.,,,,,
eren,-,에렌,"둘째, 카샤스티가 생포되었고 어딘가로 호송 중이다.",,,,,
yeong,-,영,루펠리아 요새감옥이겠군요.,,,,,
reina,-,레이나,어떻게 아는 거죠?,,,,,
yeong,-,영,모르셨나요? 이미 황제가 공표한 내용입니다. 우리의 행방에 대해 심문했지만 입을 열지 않아서 중범죄자들만 수용하는 루펠리아 요새감옥으로 보내겠다고 했죠.,,,,,
eren,-,에렌,우리 쪽에서 텔루르 산으로 가는 길에는 변변한 도시가 없어서 소식을 접할 기회가 없었거든.,,,,,
luvericha,-,루베리카,결국 목적지는 우리와 같네.,,,,,
yeong,-,영,"우리가 훨씬 빠르게 이동하고 있으니, 그쪽의 경로를 예측할 수 있다면 따라잡는 것도 가능하겠죠. 남족은 호수고, 알체스에서 동쪽으로 가는 길 중 제대로 된 가도는 (지명?)로 이어지는 하나뿐입니다.",,,,,
sisterna,-,시스터나,"하지만, 지난주라고 했는데 이미 제법 멀리 가지 않았을까요?",,,,,
eren,-,에렌,그렇겠지. 그건 천천히 생각해 보도록 하자고. 마지막 세 번째는......,,,,,
reina,-,레이나,"현재 황제의 명령으로 화약을 개발 중이고, 거의 완성이라는 거겠죠.",,,,,
eren,-,에렌,"그쪽에서는 화약을 만들어 주면 황제가 그걸로 얌전히 광산이나 파고 있을 거라는 상상을 하는 모양인데, 터무니없는 소리지.",,,,,
sisterna,-,시스터나,"그건 동감이야. 자바에서 화약을 만들었을 때도 처음 시작은 마법 없이 불을 피우기 위해서였지만, 결국 결과물이 나오자 가장 먼저 응용된 건 총이었으니까.",,,,,
luvericha,-,루베리카,(한숨)......어째서 남을 해치는 기술에만 그렇게 열심인 걸까요.,,,,,
eren,-,에렌,"인간이라는 동물이 원래 그렇지 무러. 어째든, 실제로 저게 완성된다면 선전 포고를 하는 것도 시간 문제겠군.",,,,,
sisterna,-,시스터나,역시 상대는 자바인가?,,,,,
eren,-,에렌,이 정도로 철저하게 준비할 만한 상대라면 역시 그렇겠지. 역사적으로도 명목상 휴전이지만 사실상 졌던 경험이 있고.,,,,,
yeong,-,영,(유니티가 자바를 공격하는 건가...... 이 소식을 들었을 때 그자의 표정을 보고 싶은걸. 과연 이번에도 자바의 전쟁 영웅이 나타나 줄까?),,,,,
blank,-,-,"시스터나는 자신의 조국이 공격받는다는 말에도 그다지 관심이 없는지, 별 말 하지 않고 자신이 느꼈던 다른 의문점을 이야기했다.",,,,,
sisterna,-,시스터나,"아참, 궁금한 게 있는데. 그 트리아나 페르단트라는 사람은 이곳과 무슨 관계가 있는 거야> 이름만 꺼내도 정색을 하고 쫓아내던데.",,,,,
reina,-,레이나,역시 그런가......,,,,,
eren,-,에렌,그 죽었다는 '자리브'가 그 녀석 누나거든.,,,,,
sisterna,-,시스터나,(당황)저런......,,,,,
eren,-,에렌,"불의의 사고라는 건 사실 트리아나 그 녀석이 죽인 거야. 누나뿐만 아니라 그 집에 있던 가족들까지 전부, 자기 손으로. 집째로 날려버렸지.",,,,,
blank,-,-,입을 딱 벌리고는 놀라서 아무 말도 못 하는 시스터나. 옆에서 영이 납득했다는 듯 눈을 감은 채 고개를 끄덕이고 있었다.,,,,,
eren,-,에렌,"물로 ㄴ일부러 그런 건 아니고. 말 그래도 사고니까. 그 연금술사가 말했듯이 그 이후로 연금술의 학문적 지위는 상당히 추락했으니, 여기 사람들에게는 피하고 싶은 화제였을 테지.",,,,,
sisterna,-,시스터나,"(찡그림)칫, 그걸 알면서 시켰단 말이야?",,,,,
reina,-,레이나,"(당황)아하하, 혹시나 해서 말이죠......?",,,,,
eren,-,에렌,"그 자비르와 촉매 설계에 참여한다는 네 사람까지를 아울러 '연금술의 5대 현자'라고 불렀지. 그 사람들을 부르는 이름은 본명이 아니라 칭호인데, 후대를 찾으면 칭호도 물려주게 돼.",,,,,
eren,-,에렌,"자비르가 후대를 찾지 못하과 죽어서 지금은 4대가 됐겠지만 말이지. 어쨌든 현존하는 연금술사 중 최고라고 인정받는다는 뜻인데, 그들이 전부 참여했다는 건...... 이번에 만든다는 물질의 중요성을 보여주는 것이겠지.",,,,,
sisterna,-,시스터나,(기본)그렇구나. 근데 어떻게 그렇게 잘 알아?,,,,,
eren,-,에렌,(미소)나도 한때 연금술에 손대 본 적이 있지. 난 원래 모르는 게 없잖아. 새삼스럽게 뭘 그래?,,,,,
blank,-,-,"겉보기에는 천진난만한 소년의 평범한 웃음이었지만, 레이나는 알고 있었다. 그가 저런 미소를 짓는 일은, 흥미로운 것을 생각할 때 말고는 결코 없다는 것을.",,,,,
sisterna,-,시스터나,"뭐 어쨌든, 이래서야 트리아나인가 하는 사람에 대해서는 무러 알아보려고 해도 안 될 것 같은데요.",,,,,
reina,-,레이나,(기본)어쩔 수 없죠. 나중을 기약하는 수밖에. 그보다 중요한 일이 생긴 것 같지 않아요?,,,,,
luvericha,-,루베리카,화약...... 말인가요?,,,,,
reina,-,레이나,"다른 종류의 평범한 기술 개발이라면 별 문제 없겠지만, 그건 너무 위험해요. 적어도 방해 정도는 해 둘 필요가 있지 않을까요?",,,,,
eren,-,에렌,"기존에 있는 화약과 비슷한 정도라면 우리 입장에서 크게 상관은 없겠지만, 그 정도로 거창하게 만든다면 뭐가 나올지 모를 일이다. 우리 쪽에서 예측할 수 없는 수단이 황제에게 생기는 건 바람직한 일은 아니지.",,,,,
yeong,-,영,,,,,,
